libthing_id,title,last_name,first_name
265837499,Dreaming in Code,Rosenberg, Scott
265837686,Simply Managing,Mintzberg, Henry
265837890,A Philosophy of Software Design,Ousterhout, John
265838173,Drive: The Surprising Truth About What Motivates Us,Pink, Daniel H.
265838184,Automate the Boring Stuff with Python,Sweigart, Al
265838202,The Phoenix Project,Kim, Gene
265838209,How to Measure Anything,Hubbard, Douglas W.
265838412,Provoke,Tuff, Geoff
265838398,The Management Myth,Stewart, Matthew
265838458,Code Complete,McConnell, Steve
265838472,"Node.js, MongoDB and AngularJS Web Development",Dayley, Brad Dayley
265838476,Building Microservices,Newman, Sam
265838599,Discrete Mathematics and Its Applications,Rosen, Kenneth H.
265838664,The Essential Drucker,Drucker, Peter F.
265838780,User Stories Applied,Cohn, Mike
265838805,Large-Scale Scrum,Larman, Craig
265838807,Lean Change Management,Little, Jason
265838810,Agile Retrospectives,Derby, Esther
265838813,Kanban,Anderson, David J.
265838819,User Story Mapping,Patton, Jeff
